"text","group","id","time","partner_id","turn","seller","study","study_group","span","timeFraction"
"Thanks for the bid, but such bowls are finely crafted, centuries-old, and hard to find.  The time and effort to procure them alone makes that an unacceptable underbid.",7,"JQEPJ","0","73FN4",2,1,"one","one_7",10,0.0609756097560976
"Would you reconsider to a more mutually  acceptable purchase price? ",7,"JQEPJ"," 4:24:36 PM ","73FN4",3,1,"one","one_7",20,0.121951219512195
"I appreciate your communication, but with difficulty I will be able to pay you $350.00.",7,"73FN4"," 4:27:00 PM ","JQEPJ",4,0,"one","one_7",164,1
"Hello, How are you? I am looking to buy the sugar bowl for $250. :) ",9,"X8DZT","0","WZ3UX",1,0,"one","one_9",0,0
"Good day! I see you have had a look at that Langlands sugar bowl. He was a very interesting New England silversmith at the time, obviously overshadowed by the bigger names, so a bit more fastidious, and a perfectionist to distinguish himself. He's at present a minor silversmith, but there are quite remarkable points which will put him up with the masters, I assure you.  ",9,"WZ3UX","0","X8DZT",2,1,"one","one_9",10,0.0325732899022801
"What say you? Are you appreciating these finer points of Langland's work that override his more populist common celebrities? ",9,"WZ3UX"," 4:53:14 PM ","X8DZT",3,1,"one","one_9",20,0.0651465798045603
"Absolutely. ||Thank you for that piece of story. I love it. ||How about $280? ",9,"X8DZT"," 4:53:27 PM ","WZ3UX",4,0,"one","one_9",33,0.107491856677524
"Terrific. Well, you can see right here that this sugar bowl has this ....do you see that blemish? THAT was enough for that Langland to reject it. Whereas look at what it is selling for: over ten thousand dollars because that drunkard who napped after lunch has his name on it... ",9,"WZ3UX"," 4:54:54 PM ","X8DZT",5,1,"one","one_9",120,0.390879478827362
"Mhmm. ",9,"X8DZT"," 4:55:29 PM ","WZ3UX",6,0,"one","one_9",155,0.504885993485342
"It's a steal at $400, I think. I like your enthusiasm. ",9,"WZ3UX"," 4:55:35 PM ","X8DZT",7,1,"one","one_9",161,0.52442996742671
"How about 350? ",9,"X8DZT"," 4:55:45 PM ","WZ3UX",8,0,"one","one_9",171,0.55700325732899
"$370 and its yours.",9,"WZ3UX"," 4:56:03 PM ","X8DZT",9,1,"one","one_9",189,0.615635179153095
"360? ",9,"X8DZT"," 4:56:13 PM ","WZ3UX",10,0,"one","one_9",199,0.648208469055375
"It IS Christmas after all. ||$370? ",9,"WZ3UX"," 4:56:17 PM ","X8DZT",11,1,"one","one_9",203,0.661237785016287
"Hmm.. alright. ||370 it is.",9,"X8DZT"," 4:56:49 PM ","WZ3UX",12,0,"one","one_9",235,0.765472312703583
"Yay! Good show! Well done! Allow me to wrap this up for you, and I will tell you a few more things about Langland. He was very short, you know.",9,"WZ3UX"," 4:57:44 PM ","X8DZT",13,1,"one","one_9",290,0.944625407166124
"Alright. Thank you so much! ",9,"X8DZT"," 4:58:01 PM ","WZ3UX",14,0,"one","one_9",307,1
"I'll take this bowl for 250.",10,"B446N","0","6GVRF",1,0,"one","one_10",0,0
"I need 350",10,"6GVRF","0","B446N",2,1,"one","one_10",10,0.108695652173913
"The best I can do is 300.",10,"B446N"," 4:50:22 PM ","6GVRF",3,0,"one","one_10",20,0.217391304347826
"Done. ",10,"6GVRF"," 4:51:02 PM ","B446N",4,1,"one","one_10",60,0.652173913043478
"Great. 300. ",10,"B446N"," 4:51:34 PM ","6GVRF",5,0,"one","one_10",92,1
"I'm willing to purchase the sugar bowl for $250, but that's really all that I can afford at this juncture.",11,"4AZAK","0","66UA7",1,0,"one","one_11",0,0
"What a good offer.",11,"66UA7","0","4AZAK",2,1,"one","one_11",10,0.5
"What a good offer. ",11,"66UA7"," 4:50:52 PM ",NA,3,1,"one","one_11",20,1
"Hello, My name is Jack and I'm interested in buying the sugar bowl that you listed. I would be willing to buy it for $250. Please let me know if this works for you. Thanks! Best, Jack",12,"ZJ5U6","0","E7UR4",1,0,"one","one_12",0,0
"Hello!  Thank you for your interest in the sugar bowl.  As I'm sure you're aware, this sugar bowl is a fine example of high craftsmanship of Langland's make, which sell for up to $800.  Considering the blemish, however, I would like to counter-offer with a price of $600",12,"E7UR4","0","ZJ5U6",2,1,"one","one_12",10,0.031055900621118
"If you would like to purchase the bowl, please let me know! ",12,"E7UR4"," 4:52:32 PM ","ZJ5U6",3,1,"one","one_12",20,0.062111801242236
"Hello! Thank you for your response. I was wondering if you could further describe the blemish on the item. I was also wondering where you originally obtained it. ",12,"ZJ5U6"," 4:52:44 PM ","E7UR4",4,0,"one","one_12",32,0.0993788819875776
"The blemish is a small smudge on the underside of the bowl in the varnish.  I obtained the bowl itself from a collector.",12,"E7UR4"," 4:54:01 PM ","ZJ5U6",5,1,"one","one_12",109,0.338509316770186
"Would it be possible to do $500? ",12,"ZJ5U6"," 4:56:43 PM ","E7UR4",6,0,"one","one_12",271,0.841614906832298
"I would accept $500 for the bowl.",12,"E7UR4"," 4:56:56 PM ","ZJ5U6",7,1,"one","one_12",284,0.881987577639752
"Okay, then I'll take it. Thanks! ",12,"ZJ5U6"," 4:57:19 PM ","E7UR4",8,0,"one","one_12",307,0.953416149068323
"Of course! Have a wonderful day! ",12,"E7UR4"," 4:57:29 PM ","ZJ5U6",9,1,"one","one_12",317,0.984472049689441
"You as well! ",12,"ZJ5U6"," 4:57:34 PM ","E7UR4",10,0,"one","one_12",322,1
"Hi I would really want to buy this piece of antique, and given the info that I have gathered I would want to extend an already generous price of $250 for that sugar bowl",14,"UHQUR","0","62F9B",1,0,"one","one_14",0,0
"Hi! Thank you for your offer. This is a one-of-a-kind piece, valued at $700. I'd be willing to sell it at a significantly reduced price. I am offering it to you for $500.",14,"62F9B","0","UHQUR",2,1,"one","one_14",10,0.0740740740740741
"What do you think of my offer? ",14,"62F9B"," 4:49:48 PM ","UHQUR",3,1,"one","one_14",20,0.148148148148148
"Is there any way we can settle this at around 350-400? ||$500 is a little over.",14,"UHQUR"," 4:50:44 PM ","62F9B",4,0,"one","one_14",76,0.562962962962963
"I'm willing to go down to $450. ",14,"62F9B"," 4:51:01 PM ","UHQUR",5,1,"one","one_14",93,0.688888888888889
"Deal. ",14,"UHQUR"," 4:51:37 PM ","62F9B",6,0,"one","one_14",129,0.955555555555556
"Great! ",14,"62F9B"," 4:51:43 PM ","UHQUR",7,1,"one","one_14",135,1
"Hello! I'm interested in purchasing the sugar bowl that is for sale.  This sugar bowl would complete a tea set that I've had since my childhood and that has immense sentimental value.   I would be interested in a price point of $250, and I would greatly appreciate your cooperation. Thank you",20,"MVHDS","0","X7P4Q",1,0,"one","one_20",0,0
"Hi. So glad you are interested. I'd love to sell the bowl to you, though I'm afraid your initial offer is just too low, and won't cover even my initial investment in the piece. I know that it may be too much of a jump for you, but I will consider an offer closer to $500.",20,"X7P4Q","0","MVHDS",2,1,"one","one_20",10,0.15625
"Hello. ",20,"X7P4Q"," 5:16:01 PM ","MVHDS",3,1,"one","one_20",20,0.3125
"Hello!  Thanks for the message -  would $400 work for you? ",20,"MVHDS"," 5:16:05 PM ","X7P4Q",4,0,"one","one_20",24,0.375
"Yes, 400 will work for me. ",20,"X7P4Q"," 5:16:34 PM ","MVHDS",5,1,"one","one_20",53,0.828125
"Ok sounds good! ",20,"MVHDS"," 5:16:40 PM ","X7P4Q",6,0,"one","one_20",59,0.921875
"Great! ",20,"X7P4Q"," 5:16:45 PM ","MVHDS",7,1,"one","one_20",64,1
"Hello there! I'm extremely interested in buying your sugar bowl--it is so beautiful! I've been looking for something similar for a long time, and I'm so happy I've come across this. Unfortunately, I don't have very much extra money right now, but I could offer you $250 for your sugar bowl. What do you think?",22,"7KQ6H","0","49A2Y",1,0,"one","one_22",0,0
"So glad you're interested! It's a lovely bowl with intricate designs by a well-known artist from colonial New England. I'm selling it for 500, but maybe we could work something out.",22,"49A2Y","0","7KQ6H",2,1,"one","one_22",10,0.0185873605947955
"Hi, does this chat work? ",22,"49A2Y"," 5:15:04 PM ","7KQ6H",3,1,"one","one_22",20,0.0371747211895911
"Is this the seller of the sugar bowl? ",22,"7KQ6H"," 5:16:00 PM ","49A2Y",4,0,"one","one_22",76,0.141263940520446
"Yes, hi! You're the buyer? ",22,"49A2Y"," 5:16:11 PM ","7KQ6H",5,1,"one","one_22",87,0.161710037174721
"Yes! ",22,"7KQ6H"," 5:16:16 PM ","49A2Y",6,0,"one","one_22",92,0.171003717472119
"Ok, cool. ",22,"49A2Y"," 5:16:21 PM ","7KQ6H",7,1,"one","one_22",97,0.180297397769517
"I'd really love to buy it, but I don't have more than $400 to spend... Is there any way we could work something out? ",22,"7KQ6H"," 5:17:14 PM ","49A2Y",8,0,"one","one_22",150,0.278810408921933
"Yeah, I was going to say, I'm asking 500 but I could go down a bit for you.",22,"49A2Y"," 5:18:19 PM ","7KQ6H",9,1,"one","one_22",215,0.399628252788104
"Wow, that would be great! ",22,"7KQ6H"," 5:18:45 PM ","49A2Y",10,0,"one","one_22",241,0.447955390334572
"How about 400? Don't want to lose money on it.",22,"49A2Y"," 5:19:00 PM ","7KQ6H",11,1,"one","one_22",256,0.475836431226766
"Is there any way we could do slightly lower? 400 is basically my upper limit--would you be willing to do $375? ",22,"7KQ6H"," 5:19:46 PM ","49A2Y",12,0,"one","one_22",302,0.561338289962825
"Unfortunately, I've got online buyers who are also interested. Gotta stick with 400! Can you do that? ",22,"49A2Y"," 5:22:36 PM ","7KQ6H",13,1,"one","one_22",472,0.877323420074349
"Alright. It is a beautiful piece and I'd love to add it to my collection, so I'll take it for $400. Thanks so much! ",22,"7KQ6H"," 5:23:20 PM ","49A2Y",14,0,"one","one_22",516,0.95910780669145
"Ok, thank you. It's a great piece, I promise.",22,"49A2Y"," 5:23:42 PM ","7KQ6H",15,1,"one","one_22",538,1
"Hi! I would love to purchase this sugar bowl! It is really stunning. I can offer you 250 dollars for it. How does that sound?",23,"S5RW8","0","E8DE2",1,0,"one","one_23",0,0
"Hi there!  You sure have a good taste! This bowl dates back to 1750 from England. I can sell it for $399. Is that within your price range?",23,"E8DE2","0","S5RW8",2,1,"one","one_23",10,0.0109051254089422
"Wow, from the 1750's? That's incredible. 399 is unfortunately a little high for me. I am looking to buy this piece in order to complete a set that was given to me by very dear family members. Is there any way we could settle for lower? How does $300 sound to you? ",23,"S5RW8"," 5:17:05 PM ","E8DE2",3,0,"one","one_23",20,0.0218102508178844
"Hi there! You sure have good taste! This piece of antique ornament dates back to 1750 from England. I am happy to sell it for $330-$399. Is that within your price range? ",23,"E8DE2"," 5:18:03 PM ","S5RW8",4,1,"one","one_23",78,0.0850599781897492
"330 is getting closer, but again a little high for me. How about 310? I understand that this piece is very valuable, so I want to offer you the best price I can possibly give. ||Buying this piece is really important to me and my family. ",23,"S5RW8"," 5:18:54 PM ","E8DE2",5,0,"one","one_23",129,0.140676117775354
"This piece would be a lovely addition to your existing collection. It is rather unique and well preserved. I really want to help you out here. Let's see,  I can do $328. ",23,"E8DE2"," 5:22:02 PM ","S5RW8",6,1,"one","one_23",317,0.345692475463468
"I agree! I really would love to add it. I just don't have that kind of money on hand today though. I couldn't possibly go higher than $315. ||What do you think? ",23,"S5RW8"," 5:22:54 PM ","E8DE2",7,0,"one","one_23",369,0.402399127589967
"That's too bad. ",23,"E8DE2"," 5:24:47 PM ","S5RW8",8,1,"one","one_23",482,0.525627044711014
"Really, this piece means a lot to me. ||Couldn't you make an exception? ",23,"S5RW8"," 5:25:05 PM ","E8DE2",9,0,"one","one_23",500,0.54525627044711
"How's $325? I cannot go lower than that. ",23,"E8DE2"," 5:26:07 PM ","S5RW8",10,1,"one","one_23",562,0.612868047982552
"If you make it $323 we have a deal. ",23,"S5RW8"," 5:26:25 PM ","E8DE2",11,0,"one","one_23",580,0.632497273718648
"Really? 2 dollars? ",23,"E8DE2"," 5:26:45 PM ","S5RW8",12,1,"one","one_23",600,0.654307524536532
"I could go lower... Sir, we are so close to an agreement. ||Have we settled for $323? ",23,"S5RW8"," 5:27:17 PM ","E8DE2",13,0,"one","one_23",632,0.689203925845147
"I am already making an exception for you here. ||You sound like you really like the bowl. ",23,"E8DE2"," 5:29:10 PM ","S5RW8",14,1,"one","one_23",745,0.812431842966194
"So am I. I am going well above my price range to purchase this piece, and I do want it. So please help me be able to afford this. ||Fine. $325 is fine. Do we have a deal? ",23,"S5RW8"," 5:30:06 PM ","E8DE2",15,0,"one","one_23",801,0.87350054525627
"I am already losing money at $325. I really want to help you complete your family set. ||Great. ||$325 it is. ",23,"E8DE2"," 5:31:47 PM ","S5RW8",16,1,"one","one_23",902,0.983642311886587
"It's settled then. $325. ",23,"S5RW8"," 5:32:02 PM ","E8DE2",17,0,"one","one_23",917,1
"Hello, I might be interested in the sugar bowl. I do have another one at home so I do not give a lot of value to it. But I might be interested in buying it, just if you confirm its price to be below $250.",24,"VBD9B","0","CMN5C",1,0,"one","one_24",0,0
"Hello, this bowl is rather valuable, and I'd like to sell it for no less than $250. ",24,"CMN5C","0","VBD9B",2,1,"one","one_24",10,0.120481927710843
"Hello, this bowl is rather valuable; its market price is somewhere between $400 and $600. I expect to sell it for at least $250. ",24,"CMN5C"," 5:18:55 PM ","VBD9B",3,1,"one","one_24",20,0.240963855421687
"Hello, it seems we are aligned! $240 and we are done! ",24,"VBD9B"," 5:19:07 PM ","CMN5C",4,0,"one","one_24",32,0.385542168674699
"OK, $240. ",24,"CMN5C"," 5:19:27 PM ","VBD9B",5,1,"one","one_24",52,0.626506024096386
"Great! Bye! ",24,"VBD9B"," 5:19:40 PM ","CMN5C",6,0,"one","one_24",65,0.783132530120482
"Thanks, bye! ",24,"CMN5C"," 5:19:58 PM ","VBD9B",7,1,"one","one_24",83,1
"I'm willing to pay $250 for the sugar bowl. Final offer, take it or leave it.",26,"EQEM7","0","74NFR",1,0,"one","one_26",0,0
"You're quite the haggler for this beautiful sugarbowl!",26,"74NFR","0","EQEM7",2,1,"one","one_26",10,0.0217864923747277
"Hey there, I'm glad you like the sugar bowl. It's quite a fine piece. ||Hello there.",26,"74NFR"," 5:16:35 PM ","EQEM7",3,1,"one","one_26",20,0.0435729847494553
"Hi, there. ||Yes, a fine piece indeed. ||If you're selling, I'd like it for my collection. ||Ideally, I will spend $200, but if need be, $250 is the most I can do. ",26,"EQEM7"," 5:18:44 PM ","74NFR",4,0,"one","one_26",149,0.324618736383442
"It is for sale, and I'd be happy to talk with you about pricing, but $250 is lower than I can go. ||I am offering it in the $350 range today. ",26,"74NFR"," 5:21:05 PM ","EQEM7",5,1,"one","one_26",290,0.631808278867102
"Ahhhh I'm afraid I can't go lower than $300. ||Let's compromise: $320 and be on our way! ",26,"EQEM7"," 5:21:39 PM ","74NFR",6,0,"one","one_26",324,0.705882352941177
"That sounds agreeable to me! I'm glad we could reach an agreement. ",26,"74NFR"," 5:22:58 PM ","EQEM7",7,1,"one","one_26",403,0.877995642701525
"Likewise am I. Pleasure doing business with you. ",26,"EQEM7"," 5:23:18 PM ","74NFR",8,0,"one","one_26",423,0.92156862745098
"Sure thing! Have a good one. ",26,"74NFR"," 5:23:47 PM ","EQEM7",9,1,"one","one_26",452,0.984749455337691
"You too. ",26,"EQEM7"," 5:23:54 PM ","74NFR",10,0,"one","one_26",459,1
"Hello, I would like to offer 250 for the sugar bowl.",27,"3W62P","0","RN8FR",1,0,"one","one_27",0,0
"Dear Buyer, I would consider $500 for the sugar bowl. It's from the late 18th century and shows excellence in Early American silverware craftsmanship. This piece would be a great addition to any collection. Please let me know if you are interested.",27,"RN8FR","0","3W62P",2,1,"one","one_27",10,0.0303030303030303
"Dear Buyer, where you able to look at my proposal? ",27,"RN8FR"," 5:22:43 PM ","3W62P",3,1,"one","one_27",20,0.0606060606060606
"Hello, what price are you offering?",27,"3W62P"," 5:22:50 PM ","RN8FR",4,0,"one","one_27",27,0.0818181818181818
"Dear Buyer, I could offer the silver sugar bowl at $500. The silver bowl is from the 18th century and represents the highest level of silver craftsmanship. This sugar bowl would the centerpiece of any collector's showcase. It was produced by an American silversmith known for his exquisite craft. ",27,"RN8FR"," 5:26:01 PM ","3W62P",5,1,"one","one_27",218,0.660606060606061
"Good. ",27,"3W62P"," 5:27:10 PM ","RN8FR",6,0,"one","one_27",287,0.86969696969697
"Let's consider it a done deal; I take PayPal or Apple Pay. ",27,"RN8FR"," 5:27:53 PM ","3W62P",7,1,"one","one_27",330,1
"I'm willing to pay $250 for the bowl; any higher and there's hardly any benefit in it for me.",31,"M8WZS","0","CZ4B6",1,0,"one","one_31",0,0
"Well, the bowl cost me $650, but I am willing to sell it to you for $400. I am flexible, though, so I think we can come up with a compromise.",31,"CZ4B6","0","M8WZS",2,1,"one","one_31",10,0.0666666666666667
"How does meeting cleanly in the middle sound? ",31,"M8WZS"," 5:49:18 PM ","CZ4B6",3,0,"one","one_31",20,0.133333333333333
"Sounds good to me.  325? ",31,"CZ4B6"," 5:50:05 PM ","M8WZS",4,1,"one","one_31",67,0.446666666666667
"That's perfect.",31,"M8WZS"," 5:50:11 PM ","CZ4B6",5,0,"one","one_31",73,0.486666666666667
"Great, let's do it. ",31,"CZ4B6"," 5:50:46 PM ","M8WZS",6,1,"one","one_31",108,0.72
"Any idea how exactly we enter that in? Or is it just the agreement in the chat? ",31,"M8WZS"," 5:50:56 PM ","CZ4B6",7,0,"one","one_31",118,0.786666666666667
"I'm going to raise my hand to see.",31,"CZ4B6"," 5:51:20 PM ","M8WZS",8,1,"one","one_31",142,0.946666666666667
"Thanks, I appreciate it.",31,"M8WZS"," 5:51:28 PM ","CZ4B6",9,0,"one","one_31",150,1
"Hi, nice sugar bowl. It caught my eye and it looks like a beautiful piece. How much would you want for it? Maybe $250?",32,"JFQF4","0","H586W",1,0,"one","one_32",0,0
"Hi! I'm glad you're interested. It is a special piece. $250 is a loss for me, but if you're about to bump it up a little, to $650, I'd be happy to let it go",32,"H586W","0","JFQF4",2,1,"one","one_32",10,0.028328611898017
"I see that you're interested in buying the sugar bowl.",32,"H586W"," 5:42:29 PM ","JFQF4",3,1,"one","one_32",20,0.056657223796034
"Hi, nice sugar bowl. It caught my eye and it looks like a beautiful piece. How much would you want for it? Maybe $250?",32,"JFQF4"," 5:43:27 PM ","H586W",4,0,"one","one_32",78,0.220963172804533
"$250 would be selling it at a loss for me! How about $650? ",32,"H586W"," 5:44:10 PM ","JFQF4",5,1,"one","one_32",121,0.342776203966006
"Hmm, well I don't have that much to spend, but I could move up a bit so you're not selling at a loss. How does $350 sound? ",32,"JFQF4"," 5:46:01 PM ","H586W",6,0,"one","one_32",232,0.657223796033994
"How about $450? ",32,"H586W"," 5:46:50 PM ","JFQF4",7,1,"one","one_32",281,0.796033994334278
"That's just a bit too high, would $400 work? ",32,"JFQF4"," 5:47:40 PM ","H586W",8,0,"one","one_32",331,0.937677053824363
"Sure that works. ",32,"H586W"," 5:47:48 PM ","JFQF4",9,1,"one","one_32",339,0.960339943342776
"Awesome, sounds good. ",32,"JFQF4"," 5:48:02 PM ","H586W",10,0,"one","one_32",353,1
"Hi Seller, I am interested in purchasing your sugar bowl. I would be willing to give you $250 dollars for it. Are you willing to sell?",33,"XZBZ5","0","PZM6X",1,0,"one","one_33",0,0
"Hi Buyer, that offer is much too low for such a fine sugar bowl. I am willing to sell it for no less than $450. ",33,"PZM6X","0","XZBZ5",2,1,"one","one_33",10,0.0353356890459364
"Hello, buyer! Are you willing to buy the bowl for $450? ",33,"PZM6X"," 5:44:56 PM ","XZBZ5",3,1,"one","one_33",20,0.0706713780918728
"Hi seller, unfortunately I cannot spend that much on this bowl. I have seen it offered from other individuals for only $300. However, I am interested in this one. I think we can negotiate a lower price. ||How about $325?",33,"XZBZ5"," 5:45:12 PM ","PZM6X",4,0,"one","one_33",36,0.127208480565371
"I'd like to counter that with $400.  That's as low as I can go to make a profit. ",33,"PZM6X"," 5:46:28 PM ","XZBZ5",5,1,"one","one_33",112,0.395759717314488
"That is still just a bit too pricey for me. Would you consider $360? ",33,"XZBZ5"," 5:47:12 PM ","PZM6X",6,0,"one","one_33",156,0.551236749116608
"That's too low for me. Thanks for your interest. ",33,"PZM6X"," 5:48:11 PM ","XZBZ5",7,1,"one","one_33",215,0.759717314487632
"Ok, 400 works. ||Good with you? ",33,"XZBZ5"," 5:48:56 PM ","PZM6X",8,0,"one","one_33",260,0.918727915194346
"Yes. Nice doing business. ",33,"PZM6X"," 5:49:19 PM ","XZBZ5",9,1,"one","one_33",283,1
"Hey there. So I'm looking at this beautiful sugar bowl, which I would love to have to complete my set. It's the last piece I need to complete what a dear relative of mine used when we would spend time together and it would mean a lot for me to have it, but I don't have so much to offer. If you'd be willing, I can offer $250 for it. Please let me know!",34,"QHRSF","0","QKNP6",1,0,"one","one_34",0,0
"Hello. Unfortunately I have had interest from buyers at above the price you are asking for this piece. I can offer $450 for the piece.",34,"QKNP6","0","QHRSF",2,1,"one","one_34",10,0.0168918918918919
"Hello.",34,"QKNP6"," 5:49:32 PM ","QHRSF",3,1,"one","one_34",20,0.0337837837837838
"Hi! How's it going? ",34,"QHRSF"," 5:49:45 PM ","QKNP6",4,0,"one","one_34",33,0.0557432432432432
"Great! I am glad to find such an interested buyer; unfortunately, your offer of $250 is well below what I'm able to offer. ||I can offer $450. ",34,"QKNP6"," 5:50:31 PM ","QHRSF",5,1,"one","one_34",79,0.133445945945946
"I would really like to have this sugar bowl... It's the last thing I can remember of my aunt, but it broke before she died and I've never been able to replace it. Would you be willing to accept something closer to $300? ",34,"QHRSF"," 5:51:18 PM ","QKNP6",6,0,"one","one_34",126,0.212837837837838
"Unfortunately, that is still below what I'm able to offer. I have had interest from online buyers for this piece above that price. The lowest I can offer is $400. Does that work for you? ",34,"QKNP6"," 5:52:31 PM ","QHRSF",7,1,"one","one_34",199,0.336148648648649
"As generous as it is of you to lower your price, that is still a bit above my limit. How about... $325? ",34,"QHRSF"," 5:53:40 PM ","QKNP6",8,0,"one","one_34",268,0.452702702702703
"Sorry! That $400 is truly the lowest I can offer. ||If we can't agree on this price I'm afraid we will not be able to make a deal. ||I could offer $395 actually. ",34,"QKNP6"," 5:54:17 PM ","QHRSF",9,1,"one","one_34",305,0.515202702702703
"Oh no! I really don't think I'll ever see it again and it would kill me not to get it... $370? ",34,"QHRSF"," 5:55:22 PM ","QKNP6",10,0,"one","one_34",370,0.625
"$395 is truly the lowest I can offer. ",34,"QKNP6"," 5:55:45 PM ","QHRSF",11,1,"one","one_34",393,0.663851351351351
"$380? Please? ",34,"QHRSF"," 5:56:13 PM ","QKNP6",12,0,"one","one_34",421,0.711148648648649
"I'm sorry...395 is the lowest. ||I'm afraid we have 1 minute left.",34,"QKNP6"," 5:56:52 PM ","QHRSF",13,1,"one","one_34",460,0.777027027027027
"Could you accept $390? I hate to still be lower than what you've said is your lowest, but I have a rather strange balance in my bank account.",34,"QHRSF"," 5:58:04 PM ","QKNP6",14,0,"one","one_34",532,0.898648648648649
"Do we have a deal for $395? ||I can't go lower.",34,"QKNP6"," 5:58:41 PM ","QHRSF",15,1,"one","one_34",569,0.961148648648649
"Ok I suppose. ||$395.",34,"QHRSF"," 5:58:57 PM ","QKNP6",16,0,"one","one_34",585,0.988175675675676
"OK! Deal.",34,"QKNP6"," 5:59:04 PM ","QHRSF",17,1,"one","one_34",592,1
"Hi, my name is Chandler Brown, and in your collection I have seen that there is a beautiful sugar bowl! I saw what it was priced as, and I wanted to know if we could maybe get the price down to around $250.",37,"BPR9V","0","CKJTY",1,0,"one","one_37",0,0
"Hey there. So, thanks for the interest. I am unfortunately not able to go past 300 dollars, as that is what I paid for it. I am however interested in getting rid of it, without a loss. It's worth more, if you wanna resell it. Besides, 300 will make both of us come out of this without any net loss/gain. What do you say to that?",37,"CKJTY","0","BPR9V",2,1,"one","one_37",10,0.0313479623824451
"Really, I mean, we both want our bonuses, but it's pitiful. It would probably be more productive to just agree to the price and get on with our lives. :P ||Hello? ",37,"CKJTY"," 5:48:04 PM ","BPR9V",3,1,"one","one_37",20,0.0626959247648903
